年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利润总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2022,广州,3.895111393615735,2.9268461017499554,3.0876295188562572,3.7763569122304634,-0.6991448987184429,-0.8780137542807961,1.1036895986532367,0.5777121906083359,3.1030589612163464,2.3778946293018444,3.000034914909222,0.25185867744585366,-0.4267711233957079,0.8444573329777932,1.6895481949509146,4.190128864938435,2.622550493344981,4.878318258397151,3.257145893010904,-1.2519841951894122,1.5249205135087252,2.275935840187231,1.8726917256997246,2.12486066423416,2.3805993387801743,3.968399981689552,0.19878941615621476,-0.1620109335800068,-0.0018328558941341038,2.220289891973876,4.3966717571855805,5.785909970133545,3.3128202499314368,0.26969957600123695,4.1625585640214835,3.020563979075013,3.426740653843198,4.758320618413135,-0.11584544814117359
2021,广州,3.799255584013411,2.7795059505791246,2.9981834688491524,3.6910936798032856,-0.701462566335166,-0.8821371521724527,1.1083552101591891,0.5466919353674445,3.001940494067124,2.3778946293018444,3.000034914909222,0.25185867744585366,-0.4267711233957079,0.8444573329777932,1.6895481949509146,4.190128864938435,2.6049258143756218,4.565446389415646,3.257145893010904,-0.4166312279381905,1.476738212558443,2.275935840187231,1.8726917256997246,2.108265726514853,2.0354309938261856,3.968399981689552,0.19878941615621476,-0.1586377588459063,-0.0019973387879144294,2.2610548153914456,4.0976886735027795,5.078379295317868,3.024725852964684,0.26969957600123695,4.1625585640214835,4.155156708793513,2.8902057460905493,4.758320618413135,-0.11584544814117359
2020,广州,3.288024599467681,2.574014778322427,2.4534896909325647,3.243461709560602,-0.6933507296766352,-0.9422209500223069,1.157603331610908,0.4008805545649853,2.874663119111907,2.3778946293018444,3.000034914909222,0.25185867744585366,-0.4267711233957079,0.8444573329777932,1.6895481949509146,4.190128864938435,2.4551160431360723,4.049948549682265,2.9695470946344975,-1.0519701044391196,1.2581259545278234,2.275935840187231,1.8726917256997246,1.9979164289547822,1.669958628580786,3.968399981689552,0.19878941615621476,-0.17731496570733044,-0.010893407520446513,2.5685087528262525,3.856832632773764,4.462735721127602,2.667091429143887,0.26969957600123695,4.1625585640214835,3.259413008787681,1.4975865811057036,4.758320618413135,-0.11584544814117359
2019,广州,3.064361043728924,2.12863584837779,2.3877363934979887,2.9876720122790688,-0.7037802339518893,-0.885082436380779,1.1114656178298241,0.6043825665472673,2.746946098647346,2.3778946293018444,3.000034914909222,0.25185867744585366,-0.4267711233957079,0.8444573329777932,1.6895481949509146,4.190128864938435,2.331743290350561,3.5038646123288393,2.603683705224512,-0.5695831796884142,1.0972528174706826,2.275935840187231,1.8726917256997246,1.7540857554534879,1.406006364792442,3.968399981689552,0.19878941615621476,-0.18006226561756022,-0.022227631420655567,2.8347060404585833,3.5834097142836776,3.7919598865620903,2.22501554414318,0.26969957600123695,4.1625585640214835,1.9024866983545725,1.0579174761591443,4.758320618413135,-0.11584544814117359
2018,广州,2.9525292658595457,1.812446471271345,2.282408000076053,2.8810929717450966,-0.7130509044187816,-0.8874386637474398,1.1182048344495328,0.5954734045633844,2.6326382662177905,2.3778946293018444,2.8734730805043096,0.9451116766894119,-0.42887832278111526,0.8474412125154435,1.2773322995408536,3.4921736695867915,1.979249710963385,2.725970047559204,2.2372231161239085,-0.6401763881885174,0.6476840755461484,2.275935840187231,1.8726917256997246,1.8802649940617848,1.163720500753042,3.968399981689552,0.15239916161514155,-0.18755940345703676,-0.06884468211927308,1.7561310854606134,2.9266269695180966,3.2038824425594497,2.021362608356337,0.19527258152531876,4.1625585640214835,1.5039085435495667,0.8384679229021053,4.758320618413135,-0.11584544814117359
2017,广州,2.7288657101207887,1.8850151873304035,2.164059844231992,2.5926634433000344,-0.7020923673179713,-0.8453316087917684,1.0753060639809375,0.5496616560287388,2.500744613414457,2.3778946293018444,2.7423911805849364,1.5476586760319433,-0.42754376317035725,0.8750729963996011,1.1092140641116275,3.0901581801153406,1.8470646186931943,2.201467247208714,1.8214778367660147,-0.5225210406883455,0.64330386636885,2.275935840187231,1.8726917256997246,1.784182210034916,1.1172669327283227,3.968399981689552,0.12437645399703794,-0.1988359424285497,-0.11040267669169597,1.8581226613725963,2.6384331647986303,2.6066162884942674,1.8574468307718055,0.14317368539217606,4.1625585640214835,0.7160338630866125,0.6148603781096695,4.758320618413135,-0.11584544814117359
2016,广州,2.409346344779707,1.9852986089530675,2.0505186022028328,2.2842503447548523,-0.6852388930181045,-0.7607914427894137,0.9937885276241377,0.4664238124934228,2.3776438707980123,2.3778946293018444,2.6429497392667907,0.41599334393342496,-0.42859736286306094,0.8789220244422505,1.0763210190926442,2.983579667691897,1.8030029212697973,1.7578066035122093,1.5223750864545522,-0.4048656931881734,0.6425074647002502,2.275935840187231,1.8726917256997246,1.5614386213304208,0.9428348304525461,3.968399981689552,0.07311897378652887,-0.2153876294359714,-0.14184893220466255,1.074822682937366,1.9879841848944686,2.2023130457424522,1.6885639084119848,0.1208455870494006,4.1625585640214835,0.7160338630866125,0.6148603781096695,4.758320618413135,-0.11584544814117359
2015,广州,2.1856827890409503,1.8391516793839737,2.039047946147563,1.9645132231529356,-0.6817623915930198,-0.6300208239397311,0.8776666412537696,0.4117409753167058,2.308135915770656,2.3778946293018444,2.5810248417186727,0.77665767687322,-0.429089042719656,0.9731702432113458,0.9946068468764746,2.973860243602967,1.7589412238464004,1.6607460167504728,1.2732799523416538,-0.38133462368813886,0.637729054688652,2.136948834547244,1.8726917256997246,1.3086635467213064,0.7848758671356785,3.7246237175131145,0.048298388319369896,-0.22049683527805944,-0.16988954032664846,0.7485393868018392,1.712259658871501,2.055293684741792,1.5345824203780307,0.10596018815421697,4.100161703444507,0.7160338630866125,0.6148603781096695,4.758320618413135,-0.11584544814117359
2014,广州,1.9620192333021935,1.7507337195726775,1.9741320476634054,1.7087235258714022,-0.6748093887428505,-0.5222234219149928,0.7802072009072105,0.3383546089751064,2.2563017102189455,2.3778946293018444,2.5317561276110463,-0.09152832217946011,-0.4245936840307869,1.115301783318355,0.9779210442140808,2.730371912547519,1.794190581785118,1.5004791257424441,1.05562046699599,-0.4754589016882766,0.6871059581418338,2.059733831413918,1.8726917256997246,1.288550042242186,0.6702895601085318,3.3016268867653444,0.021350896683379385,-0.23280088331670548,-0.20772566810639592,0.3139446215450405,1.2539167133350069,1.7704436728030126,1.1719808517819452,0.0761893903638497,3.993962779290377,0.7160338630866125,0.6148603781096695,4.758320618413135,-0.120763385427819
2013,广州,1.7543316458304907,1.8626203635728522,1.7991602309796468,1.5093134376106727,-0.6551092140007042,-0.49689397772338767,0.7485847229224227,0.8795671628250856,2.2118975137751566,2.3778946293018444,2.4861034659149888,0.016455011036047365,-0.42557704374397703,1.2582101914706696,0.8991579938837074,1.840039150746011,1.3359489285817896,1.1456637797767015,1.04001563908015,0.25282769933778837,0.7022375898452282,1.905303825147266,1.8726917256997246,1.3215849046975368,0.6573845075474936,2.9453806375126814,-0.005069442870618879,-0.24451829227116012,-0.21422706475949,0.2853277581611424,1.450615694786994,1.5682920514271048,1.0875393906020348,0.06502534119246198,3.833133317888552,0.7160338630866125,0.6148603781096695,4.334319555066464,-0.12691080703612578
