年份,地区,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),非农业人口数(万人),年平均人口(万人),自然增长率(‰),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),教育业从业人员数(万人),在岗职工平均人数(万人),在岗职工工资总额(万元),职工平均工资(元),地区生产总值增长率(%),规模以上工业企业数(个),规模以上工业总产值(当年价，万元),产品销售收入(万元),利税总额(万元),流动资产合计(万元),固定资产投资总额(万元),当年实际使用外资金额(万美元),地方财政一般预算内收入(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校在校学生数(人),专利授权数(件),发明专利授权数(件),货运总量(万吨),人口密度(人／平方公里)
2022,上海,446530000.0,982366.0,114579598.0,330968036.0,0.22,25.66,74.12,179900.0,1504.0,1216.56,1466.0,-2.3,7.63,179.457,528.971,40.052,636.0,138344329.0,196053.0,-0.2,9432.0,311360286.0,260582330.0,10034753.0,335766700.0,67516768.0,1904791.0,76081900.0,93931600.0,3862500.0,11225700.0,964925800.0,1806276500.0,317277300.0,514683.0,178300.0,36800.0,90128.0,2276.0
2021,上海,432150000.0,993945.0,114476535.0,316679520.0,0.23,26.49,73.28,173600.0,1493.0,1216.56,1466.0,-2.3,7.63,179.457,528.971,40.052,634.0,124221448.0,196053.0,8.1,9309.0,311360286.0,260582330.0,10034753.0,316837627.0,67516768.0,1904791.0,77718002.0,84308562.0,4227023.0,10394696.0,882601300.0,1638195000.0,317277300.0,514683.0,179317.0,32860.0,90128.0,2276.0
2020,上海,387010000.0,1044927.0,102905959.0,283097815.0,0.27,26.59,73.15,155800.0,1479.9583333333333,1216.56,1466.0,-2.3,7.63,179.457,528.971,40.052,606.0,105923423.0,174678.0,1.7,8804.0,311360286.0,260582330.0,10034753.0,290652304.0,67516768.0,1904791.0,70462987.0,81021120.0,4061978.0,10005937.0,779910285.0,1453276519.0,317277300.0,514683.0,139780.0,24208.0,90128.0,2276.0
2019,上海,381560000.0,1030212.0,102983044.0,277508588.0,0.27,26.99,72.73,157279.0,1469.0,1216.56,1466.0,-2.3,7.63,179.457,528.971,40.052,596.0,95558639.0,160256.0,6.0,8776.0,311360286.0,260582330.0,10034753.0,262921233.0,67516768.0,1904791.0,71650984.0,81792842.0,3895424.0,9956956.0,738236600.0,1233300600.0,317277300.0,514683.0,100587.0,22735.0,90128.0,2276.0
2018,上海,326798700.0,1045755.84,97320652.86,228432291.3,0.32,29.78,69.9,134982.0,1462.0,1216.56,1459.0,-1.87,3.1,196.259,441.308,31.876,592.0,84707990.0,142983.0,6.6,8145.0,311360286.0,260582330.0,10034753.0,255868131.0,67516768.0,1730009.0,71081480.0,83515363.0,4263655.0,9179869.0,675679400.0,1126162300.0,270717400.0,514683.0,92460.0,21331.0,90128.0,2276.0
2017,上海,306329900.0,1102787.64,93308087.54,211919024.8,0.36,30.46,69.18,126634.0,1455.0,1216.56,1453.0,-2.8,2.765,207.535,422.009,30.801,592.0,77425598.0,130765.0,6.9,8122.0,311360286.0,260582330.0,10034753.0,249555896.0,67516768.0,1700823.0,66422638.0,75476205.0,3898971.0,8741040.0,611888700.0,1050988000.0,243384800.0,514683.0,72806.0,20681.0,90128.0,2276.0
2016,上海,281786500.0,1098967.35,84056912.95,196630619.7,0.39,29.83,69.78,116562.0,1450.0,1216.56,1446.0,0.49,2.48,218.4,406.897,29.684,592.0,71314653.0,120503.0,6.9,8351.0,311360286.0,260582330.0,10034753.0,234148176.0,67516768.0,1851378.0,64061300.0,69189405.0,3417109.0,8409686.0,539850966.0,1031639421.0,236398015.0,514683.0,72806.0,20681.0,90128.0,2276.0
2015,上海,251234500.0,1105431.8,79917694.45,170236497.2,0.44,31.81,67.76,103796.0,1442.97,1216.56,1440.8,-1.27,5.845,245.713,471.325,34.112,682.0,68853038.0,100966.0,6.9,8994.0,313226240.0,260582330.0,10034753.0,213744406.0,63493886.0,1845923.0,55194964.0,61915601.0,2718505.0,7673169.0,533872070.0,1037605977.0,233847295.0,511623.0,72806.0,20681.0,90128.0,2276.0
2014,上海,235677000.0,1249088.1,81685648.2,152765831.4,0.53,34.66,64.82,97370.0,1438.7,1216.56,1435.5,0.3,5.56,257.27,467.63,34.88,671.0,61884219.0,92189.76,7.0,9253.0,322371864.0,260582330.0,10034753.0,205398154.0,60129660.0,1816593.0,45855536.0,49234377.0,2622913.0,6955284.0,479158100.0,738824500.0,219955400.0,506644.0,72806.0,20681.0,90128.0,2269.0
2013,上海,216021200.0,1296127.2,80273477.92,134451594.9,0.6,37.16,62.24,90092.0,1432.3,1216.56,1429.6,-0.6,1.34,254.21,363.41,29.5,585.0,53500158.0,91475.15,7.04,9782.0,320888779.0,260582330.0,10034753.0,196981952.0,56441312.0,1677958.0,41095087.0,45286106.0,2576603.0,6795414.0,443578800.0,692563200.0,211856900.0,504771.0,72806.0,20681.0,91352.0,2259.0
