年份,地区,预测GDP
2023,东莞,0.9515843212492878
2024,东莞,0.9975766456746453
2025,东莞,1.0394397031804554
2026,东莞,1.0676499362486958
2027,东莞,1.0939679645304166
2028,东莞,1.1215167767901932
2029,东莞,1.141901495469889
2030,东莞,1.1533156175492396
2031,东莞,1.1622437733227555
2032,东莞,1.1642567396889976
2023,中山,-0.08367840553439886
2024,中山,-0.08491028731298574
2025,中山,-0.08407431797125921
2026,中山,-0.08524308902088572
2027,中山,-0.0870957028174044
2028,中山,-0.0850011535457821
2029,中山,-0.08242610363513264
2030,中山,-0.07858956607513791
2031,中山,-0.07684063891080649
2032,中山,-0.07734882896913668
2023,佛山,0.9992947343023941
2024,佛山,1.023554899672166
2025,佛山,1.04497864644802
2026,佛山,1.0625955356015988
2027,佛山,1.075427950814821
2028,佛山,1.0878215094902284
2029,佛山,1.0991734350537234
2030,佛山,1.1036490540104638
2031,佛山,1.1076907942271008
2032,佛山,1.1094726142825078
2023,广州,3.492472166018359
2024,广州,3.569824102377803
2025,广州,3.6316936953804606
2026,广州,3.6779655792948733
2027,广州,3.70757602963801
2028,广州,3.720419381887646
2029,广州,3.7261769184720364
2030,广州,3.7286213610047683
2031,广州,3.733017844152774
2032,广州,3.7397675260277206
2023,惠州,0.1781760902663675
2024,惠州,0.1959587076185417
2025,惠州,0.2088765770054178
2026,惠州,0.217322701868414
2027,惠州,0.21938153534336602
2028,惠州,0.22387082114422
2029,惠州,0.2260038601335622
2030,惠州,0.2290785109290104
2031,惠州,0.23162485393874074
2032,惠州,0.2314044054185671
2023,江门,-0.029481838592996273
2024,江门,-0.009628225432825247
2025,江门,0.006298746894798322
2026,江门,0.019555335144076327
2027,江门,0.029260309858930352
2028,江门,0.03751484024299316
2029,江门,0.04365912217176132
2030,江门,0.04998383728840714
2031,江门,0.05529181173014041
2032,江门,0.05728172622311034
2023,深圳,3.936147467832001
2024,深圳,4.063533199631058
2025,深圳,4.158953018756762
2026,深圳,4.227889180667834
2027,深圳,4.272310687446729
2028,深圳,4.3147097270089345
2029,深圳,4.343691988163468
2030,深圳,4.365086952713051
2031,深圳,4.3839613332119916
2032,深圳,4.39688920266994
2023,澳门,-0.18382270928661348
2024,澳门,-0.18432748781189606
2025,澳门,-0.1832623731626301
2026,澳门,-0.18258313561719228
2027,澳门,-0.1821280665223262
2028,澳门,-0.1811451322378459
2029,澳门,-0.18066408639548445
2030,澳门,-0.1805082939124692
2031,澳门,-0.1803214925371558
2032,澳门,-0.1802326819815827
2023,珠海,0.011375878971905376
2024,珠海,0.03085309687752774
2025,珠海,0.048295802980815705
2026,珠海,0.06125945741056813
2027,珠海,0.07152202797781122
2028,珠海,0.07743853691758774
2029,珠海,0.08363001973310552
2030,珠海,0.08698543821252623
2031,珠海,0.08990959739621332
2032,珠海,0.09318016468770422
2023,肇庆,-0.2268730963696424
2024,肇庆,-0.22045470146447305
2025,肇庆,-0.2156603635676336
2026,肇庆,-0.2120263550182046
2027,肇庆,-0.21003285522607174
2028,肇庆,-0.2074081278025504
2029,肇庆,-0.20442151000630124
2030,肇庆,-0.20256631073544878
2031,肇庆,-0.20128100582132996
2032,肇庆,-0.20080962954027712
2023,香港,3.641460819392513
2024,香港,3.8893180629144988
2025,香港,4.1775421801852675
2026,香港,4.525841368259922
2027,香港,4.920403062526861
2028,香港,5.426683370889952
2029,香港,5.771210725522142
2030,香港,5.819269592753851
2031,香港,5.581816200704586
2032,香港,5.388756189816716
